k,rounds,error
1.0,38,2.0832437047638307E-4
1.2,48,2.1773370803768443E-4
1.4,44,2.2511476060129354E-4
1.6,47,2.4160260709381732E-4
1.8,50,2.439916559433044E-4
2.0,52,2.6066194873161663E-4
2.2,53,2.630020756306095E-4
2.4000000000000004,56,2.6459190373661555E-4
2.6,56,2.920980448648223E-4
2.8,64,2.8765367549271305E-4
3.0,66,2.887497418956855E-4
3.2,53,3.2262184381582417E-4
3.4000000000000004,62,3.2432709871777377E-4
3.6,59,3.2780788130199314E-4
3.8000000000000003,64,3.30539830334466E-4
4.0,69,3.316579224149621E-4
4.2,70,3.2377165740717117E-4
4.4,56,3.6287344124967546E-4
4.6,68,3.6036443703538624E-4
4.800000000000001,54,4.1133602526763016E-4
5.0,63,3.793231995129176E-4
5.2,56,3.863067004406773E-4
5.4,57,4.38366628339395E-4
5.6000000000000005,58,4.061061219136803E-4
5.800000000000001,64,3.768165183458976E-4
6.0,59,4.170553801188106E-4
6.2,67,3.976270282439813E-4
6.4,55,4.0512262148362764E-4
6.6000000000000005,77,4.150489810813127E-4
6.800000000000001,68,5.42583772291735E-4
7.0,63,4.410458742199097E-4
7.2,66,4.1164488967989856E-4
7.4,63,4.560657178603904E-4
7.6000000000000005,75,4.136572844705171E-4
7.800000000000001,73,4.629970529642975E-4
8.0,68,4.491691485229765E-4
8.2,75,4.239698822386089E-4
8.4,70,4.320607059123418E-4
8.600000000000001,63,4.0942883934923203E-4
8.8,76,4.300388482410824E-4
9.0,73,4.5213996113110255E-4
9.200000000000001,82,4.331937932264154E-4
9.4,74,4.3200559699636896E-4
9.6,60,4.3793324151549483E-4
9.8,62,4.5866771726283415E-4
10.0,45,6.669159839545316E-4
10.200000000000001,48,7.493809448674611E-4
10.4,55,8.225056665709687E-4
10.600000000000001,54,7.499197070338397E-4
10.8,50,6.683500191434817E-4
11.0,48,7.154686780743446E-4
11.200000000000001,53,7.415773085956161E-4
11.4,49,7.217937548018725E-4
11.600000000000001,53,6.443450964273012E-4
11.8,54,7.090894680777779E-4
12.0,60,8.660190273345662E-4
12.200000000000001,54,6.768341205660917E-4
12.4,51,6.867530670340614E-4
12.600000000000001,57,7.345044935062574E-4
12.8,52,6.699615790700477E-4
13.0,54,8.987114150366508E-4
13.200000000000001,57,7.848509821860503E-4
13.4,53,6.84343557849779E-4
13.600000000000001,53,7.177862596776734E-4
13.8,56,7.960951401366288E-4
14.0,56,6.295653510971775E-4
14.200000000000001,50,7.666594979505632E-4
14.4,56,6.939343749054245E-4
14.600000000000001,59,0.0010307566047964584
14.8,50,6.667310222704046E-4
15.0,51,6.677337532003804E-4
15.200000000000001,56,6.503081932711368E-4
15.4,54,7.23557986060051E-4
15.600000000000001,64,9.414421796997132E-4
15.8,51,7.959127050821593E-4
16.0,56,6.775608396937969E-4
16.200000000000003,53,7.120274009328895E-4
16.4,64,6.686112660901813E-4
16.6,63,7.170032376251854E-4
16.8,59,6.956302590442079E-4
17.0,59,6.698980697861999E-4
17.2,58,9.253153224099719E-4
17.400000000000002,79,0.0016029782520387173
17.6,56,7.069260516255511E-4
17.8,60,6.499115541005267E-4
18.0,61,8.344272284933894E-4
18.2,58,6.283380723304788E-4
18.400000000000002,59,6.862849949988643E-4
18.6,53,6.757205897863088E-4
18.8,70,8.533641586893098E-4
19.0,57,6.339123273749294E-4
19.2,60,6.576242313647071E-4
19.400000000000002,63,7.70263613841351E-4
19.6,68,0.0017853191989274037
19.8,67,7.785308513357592E-4
20.0,62,6.761895854225771E-4
20.200000000000003,64,7.394049094915615E-4
20.400000000000002,61,7.359094987143209E-4
20.6,51,8.692898033153184E-4
20.8,69,0.0013766581472930354
